Nation,Site,Line
Korea,Pyeongtaek1,P1
Korea,Pyeongtaek1,P2
Korea,Pyeongtaek1,P3
Korea,Pyeongtaek1,P4
Korea,Pyeongtaek2,P5
Korea,Pyeongtaek2,P6
Korea,Hwasung,10L
Korea,Hwasung,11L
Korea,Hwasung,12L
Korea,Hwasung,13L
Korea,Hwasung,MR2
Korea,Hwasung,15L
Korea,Hwasung,16L
Korea,Hwasung,17L
Korea,Hwasung,V1L
Korea,Hwasung,S3-V
Korea,GiHeung,1L
Korea,GiHeung,2L
Korea,GiHeung,3L
Korea,GiHeung,4-5L
Korea,GiHeung,6-7L
Korea,GiHeung,8-9L
Korea,GiHeung,S1L(14L)
Korea,Suwon,
Korea,Cheonan,
Korea,Tangjeong,A4-2
Korea,Tangjeong,C5
Korea,Tangjeong,S1L
Korea,Tangjeong,8D
Korea,Asan,
Korea,Onyang,
China,Seonan,X1
China,Seonan,X2
China,Seonan,M
China,Seonan,1공장
China,Cheonjin,원형라인
USA,Austin,FAB1
USA,Austin,FAB2
USA,Austin,SAS Retrofit PJT
USA,Austin,SAS STAR PJT
USA,Austin,SDIHU PJT
Hungary,Guid,
India,Noida,
Turkey,Veliköy,무선동 REMODELING
Malaysia,Seremban,4공장
Vietram,SEVT,
Vietram,SEV,
Vietram,SDV,
Philippines,,
